Player,Team ,Year,Pos,Salary,Age,Games Played,Field Goal Percentage,3-Point Field Goal Percentage,Free Throw Percentage,Total Rebounds,Assists,Steals,Blocks,Turnovers,Points
Daniel Ochefu,WAS,2017,C,"$50,000",23,19,0.444,0,0,22,3,2,0,3,24
Jonathan Gibson,DAL,2017,PG,"$74,158",29,17,0.368,0.333,0.724,22,26,8,0,21,106
Anthony Brown,TOT,2017,SF,"$77,250",24,11,0.36,0.259,0,33,8,5,1,6,43
Darrun Hilliard,DET,2017,SG,"$77,250",23,39,0.373,0.261,0.75,33,33,11,2,28,127
Danuel House,WAS,2017,SG,"$77,250",23,1,0,0,0,1,0,0,0,0,0
Adreian Payne,MIN,2017,PF,"$77,250",25,18,0.426,0.2,0.737,33,7,8,7,8,63
Marshall Plumlee,NYK,2017,C,"$77,250",24,21,0.533,0,0.421,51,10,4,4,12,40
James Young,BOS,2017,SG,"$77,250",21,29,0.431,0.343,0.667,26,4,10,2,4,68
Tim Quarterman,POR,2017,SG,"$96,406",22,16,0.448,0.385,0,14,11,2,3,11,31
Derrick Williams,TOT,2017,PF,"$104,059",25,50,0.443,0.309,0.652,130,28,14,7,28,304
Ty Lawson,SAC,2017,PG,"$119,009",29,69,0.454,0.288,0.797,179,335,74,6,129,681
Brandon Rush,MIN,2017,SG,"$119,601",31,47,0.374,0.386,0.722,99,45,22,23,28,197
Briante Weber,TOT,2017,PG,"$160,378",24,20,0.417,0.1,0.688,26,21,12,1,8,62
Jarell Eddie,PHO,2017,SF,"$166,256",25,5,0.316,0.25,0.889,7,0,1,0,1,24
Aaron Harrison,CHO,2017,SG,"$174,570",22,5,0,0,0.5,3,3,0,0,0,1
Georges Niang,IND,2017,PF,"$177,250",23,23,0.25,0.083,1,17,5,3,0,5,21
Quinn Cook,TOT,2017,PG,"$189,832",23,14,0.5,0.423,0.4,7,26,4,0,13,79
Demetrius Jackson,BOS,2017,PG,"$319,266",22,5,0.75,1,0.5,4,3,0,0,0,10
Brandon Jennings,TOT,2017,PG,"$380,830",27,81,0.359,0.313,0.75,196,395,70,5,128,577
Nicolas Brussino,DAL,2017,SF,"$393,041",23,54,0.369,0.305,0.773,95,47,17,8,26,150
Derrick Jones,PHO,2017,SF,"$462,875",19,32,0.562,0.273,0.707,79,12,14,13,13,168
Leandro Barbosa,PHO,2017,SG,"$500,000",34,67,0.439,0.357,0.889,104,81,31,8,48,419
Michael Gbinije,DET,2017,SG,"$500,000",24,9,0.1,0,1,3,2,0,0,0,4
Kay Felder,CLE,2017,PG,"$551,866",21,42,0.392,0.318,0.714,41,58,18,7,31,166
Jeff Withey,UTA,2017,C,"$593,780",26,51,0.534,0,0.75,121,7,16,32,14,146
Joel Bolomboy,UTA,2017,PF,"$708,200",23,12,0.563,0.25,0.5,17,2,1,2,2,22
Alex Poythress,PHI,2017,PF,"$778,668",23,6,0.463,0.316,0.8,29,5,3,2,3,64
Trey Burke,WAS,2017,PG,"$784,160",24,57,0.455,0.443,0.759,47,100,11,5,48,285
Justin Hamilton,BRK,2017,C,"$1,000,000",26,64,0.459,0.304,0.75,262,55,29,43,43,442
Gerald Henderson,PHI,2017,SG,"$1,000,000",29,72,0.423,0.353,0.806,185,112,41,15,62,662
Andrew Bogut,TOT,2017,C,"$1,078,810",32,27,0.469,0,0.273,218,49,13,25,43,79
Isaiah Canaan,CHI,2017,SG,"$1,113,863",25,39,0.364,0.266,0.909,49,37,22,1,20,181
Bobby Brown,HOU,2017,PG,"$1,231,500",32,25,0.383,0.4,1,6,14,1,0,5,62
Davis Bertans,SAS,2017,PF,"$1,312,611",24,67,0.44,0.399,0.824,99,46,20,28,32,303
Malcolm Brogdon,MIL,2017,SG,"$1,312,611",24,75,0.457,0.404,0.865,213,317,84,12,113,767
Deyonta Davis,MEM,2017,C,"$1,312,611",20,36,0.511,0,0.556,60,2,3,17,8,58
Cheick Diallo,NOP,2017,PF,"$1,312,611",20,17,0.474,0,0.714,73,4,4,7,7,87
Yogi Ferrell,TOT,2017,PG,"$1,312,611",23,46,0.406,0.386,0.831,111,172,42,9,70,462
Dorian Finney-Smith,DAL,2017,PF,"$1,312,611",23,81,0.372,0.293,0.754,221,67,52,25,45,350
Bryn Forbes,SAS,2017,SG,"$1,312,611",23,36,0.364,0.321,0.833,23,23,1,0,11,94
Marcus Georges-Hunt,ORL,2017,SG,"$1,312,611",22,5,0.286,0.5,0.9,9,3,1,0,2,14
Treveon Graham,CHO,2017,SG,"$1,312,611",23,27,0.475,0.6,0.667,22,6,6,1,3,57
Andrew Harrison,MEM,2017,PG,"$1,312,611",22,72,0.325,0.276,0.763,136,198,54,20,85,425
